Index,Load_Level,Solar_Level,Wind_Level,From_Bus,To_Bus,Before_Min_Voltage,Solar_Headroom_MW,Wind_Headroom_MW,Solar_Support_pu,Wind_Support_pu,Total_Curtailment_MW,After_Min_Voltage,After_Max_Voltage,Safety_Result
7,0.9,0.6,1.0,5,6,0.9399698172493264,0.29181915355187454,7.097881899789236,1.0498960790354717,1.049795992848365,7.389701053341111,0.9513447706415612,1.049898198905948,AI Direct
8,0.9,0.7,0.6,7,8,0.9461859248097956,0.0,0.0,1.0002229960515598,1.003939861578363,0.0,0.9500130179099758,1.003939861578363,AI Direct
9,0.9,0.7,0.6,5,6,0.9418729664830626,0.0051668225558379344,0.012021937523414255,1.0499003545894063,1.0495623318365548,0.01718876007925219,0.9522883017621887,1.049909432551678,AI Direct
10,0.9,0.7,0.7,7,8,0.9479080777239136,0.0,0.0,1.000010136184162,1.0023236872863552,0.0,0.9501574584529755,1.0023236872863552,AI Direct
11,0.9,0.7,0.7,5,6,0.9411088566296786,0.0,0.007118118143367853,1.0499107380125512,1.0496079009571246,0.007118118143367853,0.9516087155167859,1.049934799155033,AI Direct
26,0.9,0.9,0.7,7,8,0.9467525616646516,0.0,0.0,1.0045261802453902,1.003199784308452,0.0,0.9500348303516963,1.0045261802453906,Safety Corrected
27,0.9,0.9,0.7,5,6,0.9368330141709456,5.594959543901302,13.61802187731956,1.0497050565657848,1.049623947619104,19.21298142122086,0.9502750079063805,1.0497050565657848,AI Direct
28,0.9,0.9,0.8,7,8,0.9482039606574086,0.0,0.0,1.0036738854454539,1.0025154726047143,0.0,0.950247373146114,1.0036738854454539,Safety Corrected
29,0.9,0.9,0.8,5,6,0.9353175068983262,8.557820522680569,18.55868902566774,1.0497364060277767,1.0496773452730088,27.116509548348308,0.950213849874348,1.0497364060277767,AI Direct
34,0.9,1.0,0.6,7,8,0.939840189572,0.039810237707117065,0.08430503878807785,1.0199386933249979,1.0053030334926978,0.12411527649519491,0.9502421948793136,1.019938693324998,Safety Corrected
35,0.9,1.0,0.6,5,6,0.9354546390924005,12.635531316826299,14.599361011590196,1.0497662943014503,1.0496497103975257,27.234892328416493,0.9503003165435912,1.0497662943014505,AI Direct
53,0.95,0.7,1.0,7,8,0.9451496246079883,0.0,0.0,1.000169875552113,1.0052911441006727,0.0,0.9503154539683831,1.0052911441006727,AI Direct
56,0.95,0.8,0.8,7,8,0.9418876949262442,0.0,0.0,1.0011167830927057,1.0090889829712573,0.0,0.9508055997977097,1.0090889829712573,Safety Corrected
59,0.95,0.9,0.6,7,8,0.9376807538000465,0.0,0.0,1.012036843117011,1.0123023378171374,0.0,0.9502352761960895,1.0123023378171372,Safety Corrected
60,0.95,0.9,0.7,7,8,0.9395804140666296,0.0,0.0,1.0109511923780843,1.0120776814713783,0.0,0.9503185346694687,1.0120776814713783,Safety Corrected
