Index,Fixed_Headroom_Percent,Curtailment_MW,Solved,Secure,Final_Min_Voltage,Final_Max_Voltage
7,5,9.14,True,False,0.9514963769637503,1.0500355151001097
8,5,8.255,True,True,0.9883662217644902,1.05
9,5,8.255,True,False,0.9528298512085954,1.050290881598757
10,5,8.68,True,True,0.988870377047442,1.0499999999999998
11,5,8.68,True,False,0.9523177027665084,1.0503282973519514
26,5,10.31,True,True,0.9797751281225082,1.0500000000000003
27,5,10.31,True,False,0.9492499770851458,1.0500000000000003
28,5,10.735000000000001,True,True,0.9801379926228866,1.0500000000000003
29,5,10.735000000000001,True,False,0.9481149628299861,1.05
34,5,10.700000000000001,True,True,0.9734709335784294,1.05
35,5,10.700000000000001,True,False,0.9482323278751544,1.05
53,5,9.955,True,True,0.9858213271479969,1.05
56,5,9.920000000000002,True,True,0.9810605567131474,1.05
59,5,9.885000000000002,True,True,0.9750927514190221,1.0500000000000003
60,5,10.31,True,True,0.9756904565709635,1.0500000000000005
62,5,11.16,True,True,0.9765490016044323,1.05
63,5,11.585,True,True,0.9768196165953945,1.05
68,5,12.4,True,True,0.9710116884489044,1.0500000000000003
78,5,8.715,True,False,0.9802932278629547,1.0503494051941655
79,5,8.715,True,True,0.9843603298990894,1.05
80,5,8.715,True,True,0.9670464339844241,1.05
147,5,7.865,True,True,0.974798636668135,1.0500000000000003
148,5,7.865,True,True,0.9766487041795402,1.05
149,5,7.865,True,True,0.953444042076326,1.05
159,5,8.255,True,True,0.9772140149690197,1.05
160,5,8.255,True,True,0.9743143237070215,1.05
161,5,8.255,True,True,0.9512537984860127,1.05
162,5,8.68,True,True,0.9769882779098805,1.0500000000000003
163,5,8.68,True,True,0.9752506629846456,1.05
164,5,8.68,True,True,0.953444042076326,1.05
174,5,9.07,True,True,0.9784936548740565,1.0500000000000003
175,5,9.07,True,True,0.9705473642521277,1.0500000000000005
176,5,9.07,True,True,0.9512537984860127,1.05
189,5,9.885000000000002,True,True,0.9788839105659107,1.05
190,5,9.885000000000002,True,True,0.96588555607954,1.05
191,5,9.885000000000002,True,True,0.9512537984860127,1.05
192,5,10.31,True,True,0.9786105534711762,1.0500000000000003
193,5,10.31,True,True,0.9667710500732214,1.05
194,5,10.31,True,True,0.953444042076326,1.05
222,5,7.865,True,True,0.9702835594966652,1.05
223,5,7.865,True,True,0.9680998712635503,1.05
224,5,7.865,True,True,0.9689411157008501,1.0500000000000003
225,5,8.290000000000001,True,True,0.9702835594966652,1.05
226,5,8.290000000000001,True,True,0.9678561774698733,1.05
227,5,8.290000000000001,True,True,0.9710163350087845,1.0500000000000003
228,5,8.715,True,True,0.9702835594966652,1.05
229,5,8.715,True,True,0.9675206176770986,1.0499999999999998
230,5,8.715,True,True,0.9728919581604205,1.05
258,5,10.345,True,True,0.9740227755171679,1.05
259,5,10.345,True,True,0.971911720818107,1.0500000000000003
260,5,10.345,True,True,0.9681854679760448,1.0500000000000003
261,5,10.77,True,True,0.9740227755171679,1.05
262,5,10.77,True,True,0.9714435112455458,1.0500000000000005
263,5,10.77,True,True,0.9590037632893075,1.05
266,5,10.31,True,True,0.9734072130675219,1.05
267,5,10.31,True,True,0.9618967907100859,1.05
274,5,10.700000000000001,True,True,0.973592339648501,1.0500000000000003
275,5,10.700000000000001,True,True,0.955347305069479,1.05
287,5,7.865,True,True,0.9622498358838554,1.05
288,5,7.865,True,True,0.9609100317536509,1.0500000000000003
289,5,7.865,True,True,0.9608420541282787,1.05
311,5,9.955,True,True,0.9648633678793795,1.0499999999999996
312,5,9.955,True,True,0.9632960062504115,1.0499999999999998
313,5,9.955,True,False,0.9151943531498719,1.05
320,5,9.920000000000002,True,True,0.9668134180505304,1.0499999999999998
321,5,9.920000000000002,True,True,0.966272148729597,1.0500000000000003
322,5,9.920000000000002,True,True,0.9622799734975281,1.0500000000000005
323,5,10.345,True,True,0.9668134180505304,1.0499999999999998
324,5,10.345,True,True,0.965935265690507,1.0500000000000005
325,5,10.345,True,True,0.9596965406926152,1.0499999999999998
335,5,10.735000000000001,True,True,0.9681354812675806,1.05
336,5,10.735000000000001,True,True,0.9675560290563026,1.0499999999999998
337,5,10.735000000000001,True,True,0.9577902580351164,1.05
373,5,8.255,True,True,0.9567606386490934,1.05
